Task name,Status,Priority,Account Status,Hotel name,Country,City / Region,Hotel Type,Rooms Range,Contact website,Source,Priority score,Priority Level,ICP Fit,OTA Dependency Signal,Direct Booking Weakness,Main Pain Hypothesis,Commercial Verdict,Subject line,Source file
Lead outreach - St Marys Park View Motel,to do,4,Researching,St Marys Park View Motel,AU,St Marys,Other lodging,,https://parkviewmotel.com.au/,Raw lead sheet: Sydney 100.csv,6.09,Low,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,St Marys Park View Motel: krátky postreh,Sydney 100.csv
Lead outreach - Kingswood Hotel,to do,4,Researching,Kingswood Hotel,AU,Kingswood,Other lodging,,http://kingswoodhotel.com.au/,Raw lead sheet: Sydney 100.csv,6.07,Low,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Kingswood Hotel: krátky postreh,Sydney 100.csv
Lead outreach - ValueSuites Penrith,to do,4,Researching,ValueSuites Penrith,AU,Emu Plains,Other lodging,,http://www.valuesuites.com.au/,Raw lead sheet: Sydney 100.csv,6.06,Low,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,ValueSuites Penrith: krátky postreh,Sydney 100.csv
Lead outreach - Hawkesbury Race Club Motel,to do,4,Researching,Hawkesbury Race Club Motel,AU,Richmond,Other lodging,,http://www.hrcmotel.com.au/,Raw lead sheet: Sydney 100.csv,6.05,Low,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Hawkesbury Race Club Motel: krátky postreh,Sydney 100.csv
Lead outreach - The Ascot Motel,to do,4,Researching,The Ascot Motel,AU,Wahroonga,Other lodging,,https://ascotmotel.com.au/home/,Raw lead sheet: Sydney 100.csv,6.05,Low,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,The Ascot Motel: krátky postreh,Sydney 100.csv
Lead outreach - Brooklyn Motel,to do,4,Researching,Brooklyn Motel,AU,Brooklyn,Other lodging,,https://brooklynmotel.com.au/,Raw lead sheet: Sydney 100.csv,6.04,Low,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Brooklyn Motel: krátky postreh,Sydney 100.csv
Lead outreach - Colonial Motel Richmond,to do,4,Researching,Colonial Motel Richmond,AU,Richmond,Other lodging,,http://www.colonialmotel.com.au/,Raw lead sheet: Sydney 100.csv,6.04,Low,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Colonial Motel Richmond: krátky postreh,Sydney 100.csv
Lead outreach - Palm Beach Bed and Breakfast,to do,4,Researching,Palm Beach Bed and Breakfast,AU,Palm Beach,Other lodging,,http://www.palmbeachbandb.com.au/,Raw lead sheet: Sydney 100.csv,6.03,Low,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Palm Beach Bed and Breakfast: krátky postreh,Sydney 100.csv
Lead outreach - Pioneer Way Motel,to do,4,Researching,Pioneer Way Motel,AU,Faulconbridge,Other lodging,,https://www.pioneerwaymotel.com.au/,Raw lead sheet: Sydney 100.csv,6.01,Low,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Pioneer Way Motel: krátky postreh,Sydney 100.csv
Lead outreach - Windsor Riverview Inn,to do,4,Researching,Windsor Riverview Inn,AU,Windsor,Other lodging,,https://www.windsorriverviewinn.com.au/,Raw lead sheet: Sydney 100.csv,6.0,Low,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Windsor Riverview Inn: krátky postreh,Sydney 100.csv
"Lead outreach - Kaban Power 7, 7 Kaban St Doonside NSW 2767",to do,4,Researching,"Kaban Power 7, 7 Kaban St Doonside NSW 2767",AU,Doonside,Other lodging,,http://www.kabanpower.com/,Raw lead sheet: Sydney 100.csv,5.99,Low,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,"Kaban Power 7, 7 Kaban St Doonside NSW 2767: krátky postreh",Sydney 100.csv
Lead outreach - Fitzroy Hotel Windsor,to do,4,Researching,Fitzroy Hotel Windsor,AU,Windsor,Preferred hotel,,,Raw lead sheet: Sydney 100.csv,5.84,Low,Keep,Unknown,Unknown,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Fitzroy Hotel Windsor: krátky postreh,Sydney 100.csv
Lead outreach - North Richmond Hotel,to do,4,Researching,North Richmond Hotel,AU,North Richmond,Preferred hotel,,,Raw lead sheet: Sydney 100.csv,5.84,Low,Keep,Unknown,Unknown,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,North Richmond Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Nightcap at Colyton Hotel,to do,4,Researching,Nightcap at Colyton Hotel,AU,Colyton,Preferred hotel,,,Raw lead sheet: Sydney 100.csv,5.82,Low,Keep,Unknown,Unknown,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Nightcap at Colyton Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Nightcap at Blue Cattle Dog Hotel,to do,4,Researching,Nightcap at Blue Cattle Dog Hotel,AU,St Clair,Preferred hotel,,,Raw lead sheet: Sydney 100.csv,5.82,Low,Keep,Unknown,Unknown,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Nightcap at Blue Cattle Dog Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Nightcap at Jamison Hotel,to do,4,Researching,Nightcap at Jamison Hotel,AU,Penrith,Preferred hotel,,,Raw lead sheet: Sydney 100.csv,5.8,Low,Keep,Unknown,Unknown,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Nightcap at Jamison Hotel: krátky postreh,Sydney 100.csv
"Lead outreach - Kaban Power 39, 39 Weber Crescent Emerton",to do,4,Researching,"Kaban Power 39, 39 Weber Crescent Emerton",AU,Emerton,Other lodging,,https://www.kabanpower.com/,Raw lead sheet: Sydney 100.csv,5.78,Low,Review,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,"Kaban Power 39, 39 Weber Crescent Emerton: krátky postreh",Sydney 100.csv
Lead outreach - Nightelier Narrabeen,to do,4,Researching,Nightelier Narrabeen,AU,Narrabeen,Preferred hotel,,,Raw lead sheet: Sydney 100.csv,5.74,Low,Keep,Unknown,Unknown,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Nightelier Narrabeen: krátky postreh,Sydney 100.csv
Lead outreach - Nightcap at Pymble Hotel,to do,4,Researching,Nightcap at Pymble Hotel,AU,Pymble,Preferred hotel,,,Raw lead sheet: Sydney 100.csv,5.73,Low,Keep,Unknown,Unknown,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Nightcap at Pymble Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Railway Hotel,to do,4,Researching,Railway Hotel,AU,Windsor,Preferred hotel,,,Raw lead sheet: Sydney 100.csv,5.49,Low,Keep,Unknown,Unknown,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Railway Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Jamison Hotel,to do,4,Not a Fit,Jamison Hotel,AU,Penrith,Other lodging,,https://www.jamisonhotel.com.au/,Raw lead sheet: Sydney 100.csv,5.38,Low,Low-fit,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Jamison Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Colyton Hotel,to do,4,Not a Fit,Colyton Hotel,AU,Colyton,Other lodging,,https://www.colytonhotel.com.au/,Raw lead sheet: Sydney 100.csv,5.22,Low,Low-fit,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Colyton Hotel: krátky postreh,Sydney 100.csv
Lead outreach - The Australian Hotel & Brewery,to do,4,Not a Fit,The Australian Hotel & Brewery,AU,Rouse Hill,Other lodging,,https://www.australianhotelbrewery.com.au/,Raw lead sheet: Sydney 100.csv,4.9,Low,Low-fit,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,The Australian Hotel & Brewery: krátky postreh,Sydney 100.csv
Lead outreach - Australian Hotel,to do,4,Not a Fit,Australian Hotel,AU,McGraths Hill,Other lodging,,https://www.australianhotelmh.com.au/,Raw lead sheet: Sydney 100.csv,4.86,Low,Low-fit,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Australian Hotel: krátky postreh,Sydney 100.csv
Lead outreach - SureStay by Best Western New Inn Richmond,to do,4,Not a Fit,SureStay by Best Western New Inn Richmond,AU,Richmond,Other lodging,,https://www.bestwestern.com/en_US/book/hotel-rooms.97475.html?aff=BAU&iata=90000026&ssob=BLSSH0004G&cid=BLSSH0004G:google:gmb:97475,Raw lead sheet: Sydney 100.csv,4.67,Low,Low-fit,Low,Medium,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,SureStay by Best Western New Inn Richmond: krátky postreh,Sydney 100.csv
Lead outreach - Royal Exchange Hotel,to do,4,Researching,Royal Exchange Hotel,AU,Windsor,Other lodging,,,Raw lead sheet: Sydney 100.csv,4.13,Low,Review,Unknown,Unknown,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Royal Exchange Hotel: krátky postreh,Sydney 100.csv
Lead outreach - Mount Kuring-Gai Motel,to do,4,Researching,Mount Kuring-Gai Motel,AU,Mount Kuring-gai,Other lodging,,,Raw lead sheet: Sydney 100.csv,4.12,Low,Review,Unknown,Unknown,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Mount Kuring-Gai Motel: krátky postreh,Sydney 100.csv
Lead outreach - Mackerel Beach Wellness Lodge,to do,4,Researching,Mackerel Beach Wellness Lodge,AU,Great Mackerel Beach,Other lodging,,,Raw lead sheet: Sydney 100.csv,4.1,Low,Review,Unknown,Unknown,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Mackerel Beach Wellness Lodge: krátky postreh,Sydney 100.csv
Lead outreach - Dural Hotel/Motel,to do,4,Researching,Dural Hotel/Motel,AU,Dural,Other lodging,,,Raw lead sheet: Sydney 100.csv,4.08,Low,Review,Unknown,Unknown,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,Dural Hotel/Motel: krátky postreh,Sydney 100.csv
Lead outreach - T&V Suites,to do,4,Researching,T&V Suites,AU,Mellong,Other lodging,,,Raw lead sheet: Sydney 100.csv,3.7,Low,Review,Unknown,Unknown,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,,T&V Suites: krátky postreh,Sydney 100.csv
